packet_id,packet_type,source_gui,dest_gui,created_at,received_at,delay,path
117,JOIN_REQUEST,41,,21.5946014183177,21.594662432594635,6.101427693394612e-05,41 -> 31
118,JOIN_REQUEST,32,,21.594608692002,21.594676979963236,6.828796123414804e-05,32 -> 31
119,JOIN_REQUEST,40,,21.594636686188508,21.59473296833625,9.628214774082267e-05,40 -> 31
123,JOIN_ACK,41,,21.59472344687157,21.594784461148503,6.101427693394612e-05,41 -> 31
126,JOIN_ACK,32,,21.59474526792447,21.594813555885704,6.828796123414804e-05,32 -> 31
128,JOIN_ACK,40,,21.59482925048399,21.59492553263173,9.628214774082267e-05,40 -> 31
180,JOIN_REQUEST,21,,40.31328085068497,40.31333667121298,5.58205280114521e-05,21 -> 31
183,JOIN_ACK,21,,40.31339249174099,40.313448312269,5.58205280114521e-05,21 -> 31
258,JOIN_REQUEST,12,,50.3134626506161,50.313532809491214,7.015887511130359e-05,12 -> 21
259,NETWORK_REQUEST,21,,50.313532809491214,50.313588630019225,5.58205280114521e-05,21 -> 31
260,NETWORK_REPLY,31,,50.313588630019225,50.31364445054724,5.58205280114521e-05,31 -> 21
261,NETWORK_UPDATE,21,,50.31364445054724,50.31370027107525,5.58205280114521e-05,21 -> 31
354,JOIN_REQUEST,12,,60.3134626506161,60.313532809491214,7.015887511130359e-05,12 -> 21
357,JOIN_ACK,12,,60.313602968366325,60.31367312724144,7.015887511130359e-05,12 -> 21
358,CH_NOMINATION,21,,60.31367312724144,60.31374328611655,7.015887511130359e-05,21 -> 12
359,CH_NOMINATION_ACK,12,,60.31374328611655,60.31381344499166,7.015887511130359e-05,12 -> 21
361,NETWORK_UPDATE,21,,60.31381344499166,60.31386926551967,5.58205280114521e-05,21 -> 31
437,SENSOR_DATA,41,,71.59472344687157,71.59480135027627,7.79034047013738e-05,41 -> 32
438,SENSOR_DATA,40,,71.594829250484,71.59498135315975,0.00015210267575582748,40 -> 31 -> 21
492,JOIN_REQUEST,33,,79.11485308873992,79.11490079173163,4.7702991707865294e-05,33 -> 32
493,NETWORK_REQUEST,32,,79.11490079173163,79.11496907969287,6.828796124125347e-05,32 -> 31
494,NETWORK_REPLY,31,,79.11496907969287,79.11503736765411,6.828796124125347e-05,31 -> 32
495,NETWORK_UPDATE,32,,79.11503736765411,79.11510565561535,6.828796124125347e-05,32 -> 31
499,JOIN_ACK,33,,79.11508507064582,79.11513277363753,4.7702991707865294e-05,33 -> 32
500,CH_NOMINATION,32,,79.11513277363753,79.11518047662923,4.7702991707865294e-05,32 -> 33
502,CH_NOMINATION_ACK,33,,79.11518047662923,79.11522817962094,4.7702991707865294e-05,33 -> 32
505,NETWORK_UPDATE,32,,79.11522817962094,79.11529646758218,6.828796124125347e-05,32 -> 31
545,JOIN_REQUEST,23,,82.44177741391344,82.44184457561234,6.716169889386947e-05,23 -> 33
548,JOIN_ACK,23,,82.44191173731123,82.44197889901012,6.716169889386947e-05,23 -> 33
578,JOIN_REQUEST,12,,85.3134626506161,85.3135472538044,8.460318829861535e-05,12 -> 23
580,JOIN_REQUEST,12,,85.31374328611655,85.31382788930485,8.460318829861535e-05,12 -> 23
602,JOIN_REQUEST,42,,86.97669076900786,86.97676888567572,7.811666786494698e-05,42 -> 33
603,JOIN_REQUEST,52,,86.97673278695845,86.97682045741749,8.7670459038236e-05,52 -> 41
605,NETWORK_REQUEST,41,,86.97682045741749,86.97688147169443,6.1014276937498835e-05,41 -> 31
607,JOIN_ACK,42,,86.97684700234359,86.97692511901145,7.811666786494698e-05,42 -> 33
608,NETWORK_REPLY,31,,86.97688147169443,86.97694248597136,6.1014276937498835e-05,31 -> 41
609,NETWORK_UPDATE,41,,86.97694248597136,86.9770035002483,6.1014276937498835e-05,41 -> 31
643,JOIN_REQUEST,44,,89.11515616269519,89.11522725474455,7.109204936739388e-05,44 -> 33
646,JOIN_ACK,44,,89.11529834679392,89.11536943884329,7.109204936739388e-05,44 -> 33
697,JOIN_REQUEST,14,,92.44199444850537,92.44207715969951,8.271119413905126e-05,14 -> 23
744,JOIN_REQUEST,12,,95.3134626506161,95.3135472538044,8.460318829861535e-05,12 -> 23
745,NETWORK_REQUEST,23,,95.3135472538044,95.31373040645624,0.00018315265184298823,23 -> 33 -> 32 -> 31
747,JOIN_REQUEST,12,,95.31374328611655,95.31382788930485,8.460318829861535e-05,12 -> 23
748,NETWORK_REQUEST,23,,95.31382788930485,95.31401104195669,0.00018315265184298823,23 -> 33 -> 32 -> 31
749,NETWORK_REPLY,31,,95.31401104195669,95.31419419460853,0.00018315265184298823,31 -> 32 -> 33 -> 23
750,NETWORK_UPDATE,23,,95.31419419460853,95.31426135630743,6.716169889386947e-05,23 -> 33
757,NETWORK_UPDATE,33,,95.31426135630743,95.31430905929913,4.7702991707865294e-05,33 -> 32
759,JOIN_ACK,14,,95.31427690580267,95.31435961699681,8.271119413905126e-05,14 -> 23
761,JOIN_ACK,12,,95.31427879779683,95.31436340098513,8.460318829861535e-05,12 -> 23
762,NETWORK_UPDATE,12,,95.31427879779683,95.31436340098513,8.460318829861535e-05,12 -> 23
763,NETWORK_UPDATE,32,,95.31430905929913,95.31437734726038,6.828796124125347e-05,32 -> 31
766,NETWORK_UPDATE,23,,95.31436340098513,95.31443056268402,6.716169889386947e-05,23 -> 33
765,CH_NOMINATION,23,,95.31436340098513,95.31444611217927,8.271119413905126e-05,23 -> 14
767,NETWORK_UPDATE,33,,95.31443056268402,95.31447826567573,4.7702991707865294e-05,33 -> 32
769,CH_NOMINATION_ACK,14,,95.31444611217927,95.31452882337341,8.271119413905126e-05,14 -> 23
771,NETWORK_UPDATE,32,,95.31447826567573,95.31454655363697,6.828796124125347e-05,32 -> 31
772,NETWORK_UPDATE,23,,95.31452882337341,95.3145959850723,6.716169889386947e-05,23 -> 33
773,NETWORK_UPDATE,23,,95.31452882337341,95.3145959850723,6.716169889386947e-05,23 -> 33
774,NETWORK_UPDATE,33,,95.3145959850723,95.31464368806401,4.7702991707865294e-05,33 -> 32
775,NETWORK_UPDATE,33,,95.3145959850723,95.31464368806401,4.7702991707865294e-05,33 -> 32
776,NETWORK_UPDATE,32,,95.31464368806401,95.31471197602525,6.828796124125347e-05,32 -> 31
777,NETWORK_UPDATE,32,,95.31464368806401,95.31471197602525,6.828796124125347e-05,32 -> 31
796,JOIN_REQUEST,52,,96.97673278695845,96.97682045741749,8.7670459038236e-05,52 -> 41
799,JOIN_ACK,52,,96.97690812787653,96.97699579833557,8.7670459038236e-05,52 -> 41
802,CH_NOMINATION,41,,96.97699579833557,96.9770834687946,8.7670459038236e-05,41 -> 52
806,CH_NOMINATION_ACK,52,,96.9770834687946,96.97717113925364,8.7670459038236e-05,52 -> 41
809,NETWORK_UPDATE,41,,96.97717113925364,96.97723215353058,6.1014276937498835e-05,41 -> 31
821,JOIN_REQUEST,34,,97.87997738391411,97.88004009236526,6.270845115352586e-05,34 -> 33
824,JOIN_ACK,34,,97.88010280081642,97.88016550926757,6.270845115352586e-05,34 -> 33
842,JOIN_REQUEST,45,,99.1153757592833,99.11546113027693,8.537099363081779e-05,45 -> 34
843,JOIN_REQUEST,54,,99.11538506282773,99.11547177886153,8.671603380605575e-05,54 -> 44
845,JOIN_REQUEST,25,,99.11541819117359,99.11548322448958,6.503331599105877e-05,25 -> 34
846,JOIN_REQUEST,36,,99.11542189201613,99.11552082072065,9.892870451722047e-05,36 -> 34
848,NETWORK_REQUEST,34,,99.11546113027693,99.11563982968103,0.00017869940410264462,34 -> 33 -> 32 -> 31
849,NETWORK_REQUEST,44,,99.11547177886153,99.11565886186385,0.00018708300231651265,44 -> 33 -> 32 -> 31
850,NETWORK_REQUEST,34,,99.11548322448958,99.11566192389368,0.00017869940410264462,34 -> 33 -> 32 -> 31
851,NETWORK_REQUEST,34,,99.11552082072065,99.11569952012475,0.00017869940410264462,34 -> 33 -> 32 -> 31
852,NETWORK_REPLY,31,,99.11563982968103,99.11581852908513,0.00017869940410264462,31 -> 32 -> 33 -> 34
854,NETWORK_REPLY,31,,99.11566192389368,99.11584062329779,0.00017869940410264462,31 -> 32 -> 33 -> 34
853,NETWORK_REPLY,31,,99.11565886186385,99.11584594486617,0.00018708300231651265,31 -> 32 -> 33 -> 44
855,NETWORK_REPLY,31,,99.11569952012475,99.11587821952885,0.00017869940410264462,31 -> 32 -> 33 -> 34
856,NETWORK_UPDATE,34,,99.11581852908513,99.11588123753629,6.270845115352586e-05,34 -> 33
861,NETWORK_UPDATE,44,,99.11584594486617,99.11591703691553,7.109204936739388e-05,44 -> 33
864,NETWORK_UPDATE,33,,99.11588123753629,99.115928940528,4.7702991707865294e-05,33 -> 32
865,NETWORK_UPDATE,33,,99.11591703691553,99.11596473990724,4.7702991707865294e-05,33 -> 32
867,JOIN_ACK,54,,99.11593266089997,99.11601937693378,8.671603380605575e-05,54 -> 44
868,CH_NOMINATION,44,,99.11601937693378,99.11610609296758,8.671603380605575e-05,44 -> 54
870,CH_NOMINATION_ACK,54,,99.11610609296758,99.11619280900139,8.671603380605575e-05,54 -> 44
873,NETWORK_UPDATE,44,,99.11619280900139,99.11626390105076,7.109204936739388e-05,44 -> 33
874,NETWORK_UPDATE,44,,99.11619280900139,99.11626390105076,7.109204936739388e-05,44 -> 33
875,NETWORK_UPDATE,33,,99.11626390105076,99.11631160404247,4.7702991707865294e-05,33 -> 32
876,NETWORK_UPDATE,33,,99.11626390105076,99.11631160404247,4.7702991707865294e-05,33 -> 32
877,NETWORK_UPDATE,32,,99.11631160404247,99.1163798920037,6.828796124125347e-05,32 -> 31
878,NETWORK_UPDATE,32,,99.11631160404247,99.1163798920037,6.828796124125347e-05,32 -> 31
890,JOIN_REQUEST,1,,100.31366883587201,100.31376595230958,9.711643757270849e-05,1 -> 12
893,JOIN_ACK,1,,100.31386306874715,100.31396018518473,9.711643757270849e-05,1 -> 12
930,JOIN_REQUEST,43,,103.8924259480195,103.89249603901426,7.009099476817937e-05,43 -> 33
933,JOIN_ACK,43,,103.89256613000903,103.8926362210038,7.009099476817937e-05,43 -> 33
943,JOIN_REQUEST,15,,105.31435384351609,105.3144307812295,7.693771341621414e-05,15 -> 14
946,JOIN_ACK,15,,105.31450771894292,105.31458465665634,7.693771341621414e-05,15 -> 14
956,JOIN_REQUEST,52,,106.97673278695845,106.97681952785236,8.67408939058123e-05,52 -> 42
957,NETWORK_REQUEST,42,,106.97681952785236,106.97701363547317,0.00019410762081406574,42 -> 33 -> 32 -> 31
961,NETWORK_REPLY,31,,106.97701363547317,106.97709060081095,7.696533778300818e-05,31 -> 42
963,NETWORK_UPDATE,42,,106.97709060081095,106.97716871747882,7.811666786494698e-05,42 -> 33
962,JOIN_REQUEST,52,,106.9770834687946,106.97717020968851,8.67408939058123e-05,52 -> 42
966,NETWORK_UPDATE,33,,106.97716871747882,106.97721642047053,4.7702991707865294e-05,33 -> 32
969,JOIN_ACK,52,,106.97717734170486,106.97726408259877,8.67408939058123e-05,52 -> 42
970,NETWORK_UPDATE,52,,106.97717734170486,106.97726408259877,8.67408939058123e-05,52 -> 42
971,NETWORK_UPDATE,32,,106.97721642047053,106.97728470843177,6.828796124125347e-05,32 -> 31
972,NETWORK_UPDATE,42,,106.97726408259877,106.97734219926663,7.811666786494698e-05,42 -> 33
973,NETWORK_UPDATE,33,,106.97734219926663,106.97738990225834,4.7702991707865294e-05,33 -> 32
974,NETWORK_UPDATE,32,,106.97738990225834,106.97745819021958,6.828796124125347e-05,32 -> 31
980,JOIN_REQUEST,26,,107.88020101671904,107.88029923262167,9.821590262504287e-05,26 -> 34
983,JOIN_ACK,26,,107.88039744852429,107.88049566442692,9.821590262504287e-05,26 -> 34
