node_id,start_time,registered_time,delta_time
16,5.040628161010896,32.040895678074044,27.000267517063147
8,12.234381881930378,33.23471964286125,21.000337760930872
19,19.714219021438552,53.23503844619411,33.52081942475556
6,36.106224134278996,57.106512048442895,21.0002879141639
26,39.01078911236917,61.011112800950286,22.00032368858112
5,4.263711854153596,72.04112051879673,67.77740866464313
15,36.97159187094314,77.10641884739687,40.13482697645372
9,36.8902921031669,77.89047515898184,41.000183055814944
35,15.287271093032363,101.01154605165225,85.72427495861989
37,13.606256515761416,101.01156344279502,87.4053069270336
18,85.46846820132352,106.4687108506284,21.00024264930488
4,86.0022004069611,107.00271249005363,21.00051208309253
47,56.003335181258265,121.0113153095528,65.00798012829453
46,63.7676448476149,121.01152784137399,57.24388299375909
3,35.82708974493683,127.0028824352362,91.17579269029937
38,116.1843396275649,137.18481487595065,21.000475248385754
27,117.4155957409381,138.41577578573242,21.00018004479432
48,55.41499520283364,141.01159163880143,85.5965964359678
29,136.77083960723616,157.1849072207643,20.414067613528147
39,23.508955143250244,157.18497933492569,133.67602419167545
56,69.58109712410008,161.0115242564618,91.43042713236171
57,99.97545602524079,161.01160611971005,61.036150094469264
55,52.618462127964946,161.011788535518,108.39332640755306
68,115.00131878616537,161.01240559655741,46.011086810392044
7,145.77695246629733,166.77723834844707,21.00028588214974
25,147.80847758279364,168.8086783990527,21.000200816259053
35,15.287271093032363,181.01136460460492,165.72409351157256
69,64.44367016926009,181.0125487507118,116.56887858145171
28,141.52690995328948,182.52715105450653,41.00024110121706
45,113.21526342301547,196.2155642422522,83.00030081923674
44,22.51098344664961,201.01133632059674,178.50035287394712
24,12.563709222454577,201.01138925808635,188.44768003563178
65,10.289978692900203,201.01238527751818,190.72240658461797
79,108.57228669165657,201.01264554503996,92.44035885338339
78,180.7123840458534,201.0127670073903,20.300382961536883
13,83.87727875274553,207.00255274270273,123.12527398995721
55,52.618462127964946,219.62698958238983,167.0085274544249
54,129.45619130442907,221.0120379549642,91.55584665053513
88,23.06853108788818,221.01383825432976,197.94530716644158
77,45.476290401732754,221.01386388934552,175.53757348761275
89,15.92121305634544,221.01386772033166,205.09265466398622
49,162.31265661947015,223.3128708698311,61.000214250360955
36,198.62666460327358,239.62689685688224,41.00023225360866
56,69.58109712410008,239.62694626953063,170.04584914543057
75,31.963305885719826,241.0126551900266,209.0493493043068
64,153.25658920679456,241.01272996755654,87.75614076076198
63,190.54056942224972,241.01277928629537,50.47220986404565
53,169.21383262071728,241.01278800303484,71.79895538231756
58,99.82596547264473,261.0117340631388,161.1857685904941
66,114.09422318132066,261.0117557136578,146.91753253233713
62,170.03755443225288,261.01294156523403,90.97538713298115
42,127.00537351136063,261.01305482159086,134.00768131023023
61,67.65268927208452,261.01306140765104,193.36037213556654
85,86.78290490905403,261.01496123219033,174.2320563231363
86,91.7876464247671,261.01497461285084,169.22732818808373
34,119.3785152351845,268.8087254303595,149.43021019517502
59,15.520085970663366,281.0117737291005,265.49168775843714
52,140.57997819763835,281.0129010876287,140.43292288999032
74,181.40054411463447,281.01294305085315,99.61239893621868
73,177.79859307985913,281.0137906952153,103.21519761535615
84,26.443895570204234,281.0151483016468,254.57125273144254
14,176.44767673230487,297.106607733075,120.65893100077014
67,60.62769135586237,301.0118034724468,240.38411211658442
83,75.35409639658045,301.01314522296,225.65904882637957
93,147.66403346966504,301.013214888972,153.34918141930697
23,181.95490145267271,321.0121346017648,139.05723314909207
12,86.38194359708594,321.01213573146055,234.63019213437462
92,117.26379944230412,321.0146012120909,203.7508017697868
43,83.87607405254498,341.0115611158105,257.1354870632655
32,23.896384266301183,341.0117103140079,317.11532604770673
97,54.09952503726847,341.0140732507496,286.91454821348117
91,32.31363085697991,341.0147826998547,308.7011518428748
81,51.436042777317816,341.0148970517977,289.57885427447985
76,27.954183240627707,381.012104709269,353.0579214686413
82,111.85483110060022,381.0133747599972,269.15854365939697
71,190.51569748124152,381.01423569765564,190.49853821641412
60,141.39568233750595,381.01424546641056,239.6185631289046
50,88.61046960137276,381.01425485781226,292.4037852564395
72,48.4950662514144,381.0142604652089,332.5191942137945
96,41.63150754966725,381.0151472261021,339.3836396764349
95,159.81366757010295,381.01518914643174,221.2015215763288
51,51.80575678328094,401.01318237125724,349.20742558797633
40,36.082747635665456,401.01326578571724,364.9305181500518
31,22.154977649145113,401.0139869013228,378.8590092521777
41,124.91780971433579,401.0140014694965,276.0961917551607
70,10.449366124616555,401.01445079476963,390.56508467015306
80,150.3005837060254,401.0144872499967,250.7139035439713
33,12.809862703939956,421.0116049833825,408.20174227944256
98,185.44747567185513,421.0128470261692,235.56537135431407
90,53.47727779967333,421.0150003161926,367.53772251651924
94,155.17392666023963,421.0162960244344,265.8423693641947
31,22.154977649145113,461.0125697054222,438.8575920562771
30,13.172789876561918,461.0134860961281,447.84069621956615
99,92.06733822518265,461.01394026504204,368.9466020398594
21,1.35156228626645,462.351920178029,461.0003578917625
85,86.78290490905403,501.0137686246796,414.23086371562556
22,6.030554393866683,521.0116395741087,514.981085180242
12,86.38194359708594,527.0027828139553,440.62083921686934
87,41.736518272723174,541.0139912694835,499.27747299676037
70,10.449366124616555,541.0155006744916,530.5661345498751
11,55.90517792884402,542.3518578880224,486.4466799591784
2,53.8531764738039,557.10775775536,503.2545812815561
31,22.154977649145113,561.0118425878333,538.8568649386881
1,175.72508058793073,562.3518013561319,386.62672076820115
89,15.92121305634544,570.0010524907576,554.0798394344122
64,153.25658920679456,590.0000498529093,436.7434606461148
37,13.606256515761416,590.0002961315809,576.3940396158195
