time,node_id,event_type,orphan_count
500,89,KILLED,11
500,64,KILLED,11
500,37,KILLED,11
550,89,RECOVERED,7
550,64,RECOVERED,8
550,37,RECOVERED,9
819.6282932561447,64,ENERGY_DEAD,1
819.6283072713828,54,ENERGY_DEAD,3
1431.014566547535,53,ENERGY_DEAD,4
2701.013986901323,31,ENERGY_DEAD,4
2721.012618650205,35,ENERGY_DEAD,8
3081.0143531771246,61,ENERGY_DEAD,8
3261.0111128009503,26,ENERGY_DEAD,6
3801.011389258086,24,ENERGY_DEAD,5
3823.312911566525,48,ENERGY_DEAD,6
4290.00029613158,37,ENERGY_DEAD,7
4301.01247454146,45,ENERGY_DEAD,8
4301.012629812277,47,ENERGY_DEAD,9
4421.012134601765,23,ENERGY_DEAD,10
4481.014798731248,32,ENERGY_DEAD,9
4741.014626208708,44,ENERGY_DEAD,10
4839.626957432692,46,ENERGY_DEAD,11
4921.01213573146,12,ENERGY_DEAD,10
4932.040895678074,16,ENERGY_DEAD,14
4937.18481487595,38,ENERGY_DEAD,16
