source_id,target_id,distance
0,1,47.158002
0,2,100.766565
0,3,166.790276
0,4,242.321970
0,5,296.931384
0,6,331.082663
0,7,422.506332
0,8,470.540972
0,9,516.248905
0,10,72.081310
0,11,94.658327
0,12,131.166502
0,13,172.182769
0,14,243.724405
0,15,318.399069
0,16,360.550284
0,17,420.739872
0,18,480.253055
0,19,536.534873
0,20,135.195759
0,21,149.941027
0,22,188.151118
0,23,215.112424
0,24,251.650739
0,25,338.352269
0,26,370.391115
0,27,459.899325
0,28,501.960028
0,29,574.343321
0,30,198.274228
0,31,205.736094
0,32,245.483001
0,33,272.915473
0,34,309.720793
0,35,341.790932
0,36,397.478492
0,37,474.822441
0,38,503.772787
0,39,567.686136
0,40,276.136148
0,41,265.713105
0,42,277.681681
0,43,333.007790
0,44,344.002490
0,45,394.954941
0,46,464.902030
0,47,503.967460
0,48,537.268709
0,49,601.625405
0,50,334.314999
0,51,312.476771
0,52,353.045801
0,53,372.893959
0,54,421.965661
0,55,458.785484
0,56,475.794990
0,57,545.019113
0,58,591.112190
0,59,657.279268
0,60,386.624842
0,61,368.767622
0,62,409.389280
0,63,435.878584
0,64,465.386813
0,65,514.772916
0,66,536.855079
0,67,571.678122
0,68,636.436203
0,69,677.839620
0,70,456.856258
0,71,459.411646
0,72,451.293086
0,73,497.856989
0,74,499.351568
0,75,533.938921
0,76,578.060463
0,77,620.809387
0,78,680.083008
0,79,729.549617
0,80,485.135384
0,81,491.098488
0,82,530.650685
0,83,552.841127
0,84,559.700329
0,85,600.777141
0,86,622.934646
0,87,675.129136
0,88,689.029844
0,89,765.483443
0,90,558.137968
0,91,548.831673
0,92,570.272465
0,93,613.879685
0,94,620.881299
0,95,668.313167
0,96,684.638720
0,97,713.576211
0,98,766.474048
0,99,801.826326
1,2,56.732033
1,3,119.664299
1,4,195.164013
1,5,250.090712
1,6,284.048526
1,7,375.437909
1,8,423.403990
1,9,469.185112
1,10,82.512049
1,11,83.726560
1,12,97.116438
1,13,129.971859
1,14,198.056298
1,15,271.948549
1,16,313.657823
1,17,373.798202
1,18,433.229348
1,19,489.533881
1,20,134.484662
1,21,136.026381
1,22,162.210992
1,23,177.160979
1,24,209.733679
1,25,294.553806
1,26,325.719197
1,27,414.061844
1,28,455.846128
1,29,527.673627
1,30,196.534971
1,31,189.401702
1,32,217.645327
