node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
20,25,125.809761,UNREGISTERED,4,109.11567406756669
20,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
20,4,130.910419,ROUTER,5,170.9619897716412
20,61,125.659892,UNREGISTERED,3,146.9772330093547
20,53,96.009020,UNREGISTERED,4,172.32993675813262
20,51,83.621669,UNREGISTERED,3,183.77288810158808
20,13,87.532167,UNREGISTERED,4,196.01690000197513
20,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
20,60,112.180627,ROUTER,3,181.28645478995745
20,1,134.484662,UNREGISTERED,99999,390.10073899193077
20,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
20,62,133.959181,UNREGISTERED,5,226.9780974331592
20,2,127.742128,REGISTERED,3,390.10078898143007
20,3,72.175509,UNREGISTERED,5,277.41788893817045
21,31,55.820528,ROOT,0,370.1001684165026
21,40,137.317390,ROUTER,1,321.59496656787354
21,32,107.480290,ROUTER,1,321.59485274821475
21,41,116.024443,ROUTER,1,350.10020369490235
21,23,117.233581,UNREGISTERED,3,385.1002864399575
21,22,55.127514,ROUTER,1,370.1005228997784
21,42,45.652508,CLUSTER_HEAD,3,110.32534418652419
21,52,87.670459,UNREGISTERED,4,106.9772650121639
21,33,47.702992,CLUSTER_HEAD,2,110.32544226001734
21,44,108.150663,REGISTERED,3,93.89257697074014
21,43,87.977325,UNREGISTERED,3,103.89265410733385
21,24,105.837901,UNREGISTERED,3,118.09085379856742
21,30,70.378590,REGISTERED,1,339.65386329589563
21,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
21,25,125.809761,UNREGISTERED,4,109.11567406756669
21,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
21,4,130.910419,ROUTER,5,170.9619897716412
21,61,125.659892,UNREGISTERED,3,146.9772330093547
21,53,96.009020,UNREGISTERED,4,172.32993675813262
21,51,83.621669,UNREGISTERED,3,183.77288810158808
21,13,115.364908,REGISTERED,3,396.0169278347165
21,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
21,36,123.545222,REGISTERED,4,109.11591164721752
21,45,77.412489,REGISTERED,4,168.7442905221029
21,64,132.875069,REGISTERED,5,169.11584896539063
21,26,98.215903,REGISTERED,4,194.42704958707122
21,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
21,60,112.180627,ROUTER,3,181.28645478995745
21,15,76.937713,CLUSTER_HEAD,5,190.96256403275112
21,35,91.649528,CLUSTER_HEAD,3,214.42757513593642
21,5,61.466779,CLUSTER_HEAD,6,170.9618659383331
21,62,133.959181,UNREGISTERED,5,226.9780974331592
21,2,112.319206,REGISTERED,3,390.1007735585083
21,3,72.175509,UNREGISTERED,5,277.41788893817045
21,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
21,70,74.542477,REGISTERED,5,199.88262498159742
21,72,134.433205,ROUTER,4,246.97831599046603
21,81,118.429064,UNREGISTERED,5,209.88270425201517
22,32,57.495703,ROUTER,1,321.59480276362734
22,23,68.145657,UNREGISTERED,3,385.1002373520339
22,42,93.183713,CLUSTER_HEAD,1,386.9769401860563
22,33,93.191157,CLUSTER_HEAD,2,279.1151782618031
22,31,48.007783,ROOT,0,400.1001831472596
22,41,98.920885,ROUTER,1,350.10018659134386
22,24,115.758058,REGISTERED,3,194.4271587424478
22,40,138.353034,REGISTERED,1,107.90964243331524
22,44,108.150663,REGISTERED,3,93.89257697074014
22,43,87.977325,UNREGISTERED,3,103.89265410733385
22,52,87.670459,UNREGISTERED,4,106.9772650121639
22,30,102.593519,REGISTERED,1,339.6538955108237
22,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
22,25,125.809761,UNREGISTERED,4,109.11567406756669
22,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
22,4,130.910419,ROUTER,5,170.9619897716412
22,61,125.659892,UNREGISTERED,3,146.9772330093547
22,53,96.009020,UNREGISTERED,4,172.32993675813262
22,51,83.621669,UNREGISTERED,3,183.77288810158808
22,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
22,36,123.545222,REGISTERED,4,109.11591164721752
22,45,77.412489,REGISTERED,4,168.7442905221029
22,64,132.875069,REGISTERED,5,169.11584896539063
22,26,98.215903,REGISTERED,4,194.42704958707122
22,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
22,60,112.180627,ROUTER,3,181.28645478995745
22,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
22,15,101.483580,ROUTER,5,205.3146092025233
22,5,61.466779,CLUSTER_HEAD,6,170.9618659383331
22,62,133.959181,UNREGISTERED,5,226.9780974331592
22,72,115.035684,ROUTER,4,266.9782965929458
22,3,72.175509,UNREGISTERED,5,277.41788893817045
22,1,82.512049,CLUSTER_HEAD,5,300.3139455807962
22,74,126.641557,REGISTERED,6,360.1002576513588
24,13,79.787697,REGISTERED,3,396.0168922575053
24,23,48.348515,UNREGISTERED,3,385.1002175548914
24,34,64.744548,CLUSTER_HEAD,3,397.88016754536466
25,23,136.070731,UNREGISTERED,3,385.1003052771074
25,34,65.033316,CLUSTER_HEAD,3,397.8801678341324
25,26,36.250924,CLUSTER_HEAD,4,395.1008018443158
25,45,90.775021,UNREGISTERED,4,394.4279602690277
25,36,61.944496,UNREGISTERED,4,395.10025980190517
25,15,66.278095,UNREGISTERED,5,395.1009038197843
25,16,91.224097,UNREGISTERED,6,395.31473984417664
27,26,95.437571,CLUSTER_HEAD,4,395.1008610309626
27,36,98.530366,UNREGISTERED,4,395.100296387775
29,28,79.835881,UNREGISTERED,6,280.963891288452
29,19,50.403813,UNREGISTERED,7,287.88095886312726
30,40,78.197894,ROUTER,1,321.59490744837825
30,41,89.862286,ROUTER,1,350.1001775327453
30,31,62.288951,ROOT,0,445.100197428428
30,12,70.158875,CLUSTER_HEAD,4,110.32544064687993
30,32,129.792568,ROUTER,1,321.5948750604923
30,23,117.233581,ROUTER,3,110.3254867451066
30,42,45.652508,CLUSTER_HEAD,3,110.32534418652419
30,52,87.670459,UNREGISTERED,4,106.9772650121639
30,33,47.702992,CLUSTER_HEAD,2,110.32544226001734
30,44,108.150663,REGISTERED,3,93.89257697074014
30,43,87.977325,UNREGISTERED,3,103.89265410733385
30,24,105.837901,UNREGISTERED,3,118.09085379856742
30,34,62.708451,CLUSTER_HEAD,3,108.09072434772837
30,25,125.809761,UNREGISTERED,4,109.11567406756669
30,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
30,4,130.910419,ROUTER,5,170.9619897716412
30,61,125.659892,UNREGISTERED,3,146.9772330093547
30,53,96.009020,UNREGISTERED,4,172.32993675813262
30,51,83.621669,UNREGISTERED,3,183.77288810158808
30,13,87.532167,UNREGISTERED,4,196.01690000197513
30,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
30,36,123.545222,REGISTERED,4,109.11591164721752
30,45,77.412489,REGISTERED,4,168.7442905221029
30,64,132.875069,REGISTERED,5,169.11584896539063
30,26,98.215903,REGISTERED,4,194.42704958707122
30,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
30,60,112.180627,ROUTER,3,181.28645478995745
30,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
30,62,133.959181,UNREGISTERED,5,226.9780974331592
30,2,73.335504,UNREGISTERED,5,202.8972903113712
30,3,72.175509,UNREGISTERED,5,277.41788893817045
30,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
30,70,74.542477,REGISTERED,5,199.88262498159742
30,72,134.433205,ROUTER,4,246.97831599046603
30,81,118.429064,UNREGISTERED,5,209.88270425201517
30,1,82.512049,CLUSTER_HEAD,5,300.3139455807962
31,41,61.014277,ROUTER,1,350.100148684736
31,32,68.287961,ROUTER,1,321.59481355588565
31,40,96.282148,ROUTER,1,321.59492553263163
31,42,76.965338,CLUSTER_HEAD,1,386.97692396768133
31,23,112.595975,UNREGISTERED,3,385.10028180235116
31,13,135.139477,REGISTERED,3,396.016947609285
32,41,77.903405,ROUTER,1,321.59480135027616
32,40,138.353034,ROUTER,1,321.5949676035176
32,33,47.702992,CLUSTER_HEAD,2,279.11513277363747
32,23,73.473411,ROUTER,3,282.44198521072224
32,42,47.388617,CLUSTER_HEAD,3,286.9768943909606
32,44,108.150663,ROUTER,3,289.11540649745734
32,43,87.977325,REGISTERED,3,303.89265410733384
32,24,105.837901,REGISTERED,3,194.42714882229066
32,52,87.670459,UNREGISTERED,4,106.9772650121639
32,12,70.158875,CLUSTER_HEAD,4,110.32544064687993
32,34,110.110516,ROUTER,3,297.8802129113326
32,25,125.809761,UNREGISTERED,4,109.11567406756669
32,14,82.711194,CLUSTER_HEAD,4,142.62324472712004
32,4,130.910419,ROUTER,5,170.9619897716412
32,61,125.659892,UNREGISTERED,3,146.9772330093547
32,53,96.009020,UNREGISTERED,4,172.32993675813262
32,51,83.621669,UNREGISTERED,3,183.77288810158808
32,54,86.716034,CLUSTER_HEAD,4,162.32983497224748
32,36,123.545222,REGISTERED,4,109.11591164721752
32,45,77.412489,REGISTERED,4,168.7442905221029
32,64,132.875069,REGISTERED,5,169.11584896539063
32,26,98.215903,REGISTERED,4,194.42704958707122
32,74,98.565457,ROUTER,5,183.90235122883954
32,63,62.453782,REGISTERED,5,162.3297742293493
32,65,94.506247,UNREGISTERED,5,172.32993726870725
32,13,87.532167,UNREGISTERED,4,196.01690000197513
32,50,61.723844,CLUSTER_HEAD,2,173.77279810367205
32,60,112.180627,ROUTER,3,181.28645478995745
32,35,96.331145,CLUSTER_HEAD,3,214.4275798175536
32,15,101.483580,ROUTER,5,205.3146092025233
32,5,61.466779,CLUSTER_HEAD,6,170.9618659383331
32,62,133.959181,UNREGISTERED,5,226.9780974331592
32,72,115.035684,ROUTER,4,266.9782965929458
32,6,74.722394,CLUSTER_HEAD,6,190.9628195119356
32,46,70.880739,REGISTERED,5,168.74424007436778
32,37,89.948879,REGISTERED,5,154.25556221807602
32,2,73.335504,UNREGISTERED,5,202.8972903113712
32,3,72.175509,UNREGISTERED,5,277.41788893817045
32,80,98.912424,CLUSTER_HEAD,5,199.8826549322947
32,70,74.542477,REGISTERED,5,199.88262498159742
32,81,118.429064,UNREGISTERED,5,209.88270425201517
32,1,82.512049,CLUSTER_HEAD,5,300.3139455807962
33,41,119.474138,ROUTER,1,350.1001651266467
34,43,97.103698,CLUSTER_HEAD,2,385.1004972132887
34,23,95.004874,UNREGISTERED,3,385.1002642112508
34,45,85.370994,UNREGISTERED,4,394.42795486500023
34,26,98.215903,CLUSTER_HEAD,4,395.10086380929425
34,36,98.928705,UNREGISTERED,4,395.1002967861136
35,23,128.507883,UNREGISTERED,3,385.1002977142599
35,34,35.405221,CLUSTER_HEAD,3,397.8801382060378
35,45,57.541579,UNREGISTERED,4,394.42792703558587
35,26,70.846749,CLUSTER_HEAD,4,395.1008364401409
35,36,63.735747,UNREGISTERED,4,395.1002615931557
37,36,89.948879,UNREGISTERED,4,395.1002878062877
