packet_id,packet_type,source_gui,dest_gui,created_at,received_at,delay,path
141,JOIN_REQUEST,48,,37.938310059572615,37.93839337447847,8.33149058578897e-05,48 -> 28
144,JOIN_ACK,48,,37.93847668938433,37.93856000429019,8.33149058578897e-05,48 -> 28
216,JOIN_REQUEST,47,,47.9385501721717,47.938623654959066,7.348278736429847e-05,47 -> 48
217,NETWORK_REQUEST,48,,47.938623654959066,47.938706969864924,8.33149058578897e-05,48 -> 28
218,NETWORK_REPLY,28,,47.938706969864924,47.93879028477078,8.33149058578897e-05,28 -> 48
219,NETWORK_UPDATE,48,,47.93879028477078,47.93887359967664,8.33149058578897e-05,48 -> 28
223,JOIN_ACK,47,,47.938863767558146,47.93893725034551,7.348278736429847e-05,47 -> 48
224,CH_NOMINATION,48,,47.93893725034551,47.939010733132875,7.348278736429847e-05,48 -> 47
225,CH_NOMINATION_ACK,47,,47.939010733132875,47.93908421592024,7.348278736429847e-05,47 -> 48
227,NETWORK_UPDATE,48,,47.93908421592024,47.9391675308261,8.33149058578897e-05,48 -> 28
410,JOIN_REQUEST,36,,67.43267342489894,67.43275363819126,8.021329232121843e-05,36 -> 47
413,JOIN_ACK,36,,67.43283385148358,67.4329140647759,8.021329232121843e-05,36 -> 47
443,JOIN_REQUEST,29,,69.38339904067197,69.38346263557355,6.359490157592518e-05,29 -> 28
446,JOIN_ACK,29,,69.38352623047513,69.3835898253767,6.359490157592518e-05,29 -> 28
457,JOIN_REQUEST,27,,70.6273213042022,70.62740178661784,8.048241564040381e-05,27 -> 28
510,JOIN_REQUEST,38,,78.30321401114493,78.30327926692985,6.525578491789474e-05,38 -> 28
513,JOIN_ACK,38,,78.30334452271477,78.30340977849968,6.525578491789474e-05,38 -> 28
521,JOIN_REQUEST,9,,79.383621521581,79.38371681268688,9.52911058789141e-05,9 -> 29
522,NETWORK_REQUEST,29,,79.38371681268688,79.38378040758846,6.359490157592518e-05,29 -> 28
523,NETWORK_REPLY,28,,79.38378040758846,79.38384400249004,6.359490157592518e-05,28 -> 29
524,NETWORK_UPDATE,29,,79.38384400249004,79.38390759739161,6.359490157592518e-05,29 -> 28
533,JOIN_REQUEST,27,,80.6273213042022,80.62740178661784,8.048241564040381e-05,27 -> 28
536,JOIN_ACK,27,,80.62748226903348,80.62756275144912,8.048241564040381e-05,27 -> 28
612,SENSOR_DATA,48,,87.93847668938433,87.93856000429018,8.331490585078427e-05,48 -> 28
630,JOIN_REQUEST,9,,89.383621521581,89.38371681268688,9.52911058789141e-05,9 -> 29
633,JOIN_ACK,9,,89.38381210379276,89.38390739489864,9.52911058789141e-05,9 -> 29
634,CH_NOMINATION,29,,89.38390739489864,89.38400268600452,9.52911058789141e-05,29 -> 9
635,CH_NOMINATION_ACK,9,,89.38400268600452,89.3840979771104,9.52911058789141e-05,9 -> 29
637,NETWORK_UPDATE,29,,89.3840979771104,89.38416157201198,6.359490157592518e-05,29 -> 28
655,JOIN_REQUEST,17,,90.62754797764184,90.6276136862502,6.57086083606373e-05,17 -> 27
656,JOIN_REQUEST,16,,90.62755976127589,90.6276372535183,7.749224241138108e-05,16 -> 27
657,NETWORK_REQUEST,27,,90.6276136862502,90.62769416866584,8.048241564040381e-05,27 -> 28
659,NETWORK_REQUEST,27,,90.6276372535183,90.62771773593394,8.048241564040381e-05,27 -> 28
