source_id,target_id,distance
0,1,36.478851
0,2,110.760277
0,3,186.463912
0,4,243.502668
0,5,302.226563
0,6,350.076773
0,7,418.648965
0,8,488.534007
0,9,527.485812
0,10,53.948723
0,11,86.260730
0,12,130.036716
0,13,181.565119
0,14,253.695381
0,15,304.778416
0,16,373.132414
0,17,405.311685
0,18,501.396845
0,19,557.250423
0,20,121.998925
0,21,130.758320
0,22,174.860554
0,23,234.680044
0,24,277.557831
0,25,325.721553
0,26,370.360923
0,27,442.838528
0,28,523.113039
0,29,567.937047
0,30,178.929723
0,31,202.173926
0,32,242.611615
0,33,269.804710
0,34,306.485574
0,35,389.022231
0,36,417.555773
0,37,458.813213
0,38,516.237403
0,39,584.581080
0,40,243.507745
0,41,248.124402
0,42,286.990227
0,43,326.973229
0,44,341.068763
0,45,397.182554
0,46,460.287768
0,47,496.657758
0,48,562.599006
0,49,619.815277
0,50,296.509125
0,51,315.640453
0,52,342.582021
0,53,374.010192
0,54,428.796978
0,55,446.870830
0,56,500.331064
0,57,528.854139
0,58,585.603077
0,59,626.784243
0,60,369.060349
0,61,368.080620
0,62,396.145861
0,63,430.287935
0,64,458.929571
0,65,500.944191
0,66,524.740283
0,67,578.925072
0,68,614.525070
0,69,687.609079
0,70,410.786506
0,71,427.127344
0,72,472.955538
0,73,472.803882
0,74,520.892917
0,75,534.546895
0,76,583.978813
0,77,623.455708
0,78,677.547174
0,79,711.793486
0,80,492.924013
0,81,512.225688
0,82,528.460111
0,83,538.994299
0,84,570.276730
0,85,585.221443
0,86,640.227593
0,87,677.376983
0,88,708.522071
0,89,769.545339
0,90,568.024159
0,91,545.969347
0,92,569.625309
0,93,589.507846
0,94,598.173476
0,95,655.875567
0,96,692.037338
0,97,727.413682
0,98,752.085265
0,99,814.810589
1,2,75.508479
1,3,150.263455
1,4,207.085156
1,5,265.779219
1,6,313.601358
1,7,382.182009
1,8,452.055563
1,9,491.015425
1,10,71.103461
1,11,61.349145
1,12,97.305253
1,13,147.343758
1,14,218.981826
1,15,268.742893
1,16,337.380945
1,17,369.258960
1,18,465.255911
1,19,521.032822
1,20,124.788659
1,21,120.755704
1,22,152.241176
1,23,204.528414
1,24,244.333231
1,25,292.903183
1,26,335.778388
1,27,407.833322
1,28,487.964184
1,29,532.077793
1,30,182.352886
1,31,190.111675
1,32,224.952688
1,33,245.320273
1,34,277.028661
1,35,358.202479
1,36,384.679320
1,37,425.707417
1,38,482.642808
1,39,549.819409
1,40,241.648572
1,41,236.267933
1,42,272.479947
1,43,304.158060
1,44,315.166857
1,45,368.773371
1,46,429.328164
1,47,464.219806
1,48,529.140922
1,49,586.078513
1,50,296.442360
1,51,305.817802
1,52,327.160508
